"n_srv","n_vms","sum(lims)","need(load)","need(f3)","Classic","Causa","safe_lim/VM"
"1","1","8","10","11","FAIL","A+B","14"
"1","2","17","10","11","OK","solo quantum","8"
"1","3–6","31–61","10","11","FAIL","C (uj<0)","5"
"2","1","9","20","22","FAIL","A+B","28"
"2","2","19","20","22","FAIL","A+B (deficit=1!)","14"
"2","3–6","30–59","20","22","FAIL","C (uj<0)","10"
"3","1–2","9–17","30","33","FAIL","A+B","42 / 22"
"3","3–4","29–39","30","33","FAIL","A+B o C","14"
"3","5–6","50–61","30","33","FAIL","C (uj<0)","14"
"4–6","1–4","8–42","39–57","33","FAIL","A o A+B","14–72"
"5–6","5–6","50–62","48–57","33","FAIL","A o C","14–15"
