source_file,n_servers,n_vms,require_all_on,classic_objective,classic_status,classic_time_s,quantum_objective,quantum_status,quantum_time_s,speedup_x,best_solver,n_classic_residuals,n_quantum_residuals
q_20260325_152745_results.json,1,1,True,11.000022,SUCCESS,0.098,11.000022,SUCCESS,1.201,0.082,classical,1,1
q_20260325_152750_results.json,1,2,True,11.000027,SUCCESS,0.12,11.000027,SUCCESS,1.43,0.084,classical,1,1
q_20260325_152755_results.json,1,3,True,11.0,SUCCESS,0.228,11.0,SUCCESS,1.322,0.173,classical,1,1
q_20260325_152801_results.json,1,4,True,11.000061,SUCCESS,0.385,11.000061,SUCCESS,1.763,0.218,classical,1,1
q_20260325_152806_results.json,1,5,True,11.000017,SUCCESS,0.58,11.000017,SUCCESS,1.664,0.348,classical,1,1
q_20260325_152811_results.json,1,6,True,11.000067,SUCCESS,0.674,11.000067,SUCCESS,1.791,0.377,classical,1,1
q_20260325_152816_results.json,2,1,True,22.00001,SUCCESS,0.158,22.00001,SUCCESS,1.67,0.094,classical,1,1
q_20260325_152820_results.json,2,2,True,22.00004,SUCCESS,0.25,22.00004,SUCCESS,1.759,0.142,classical,1,1
q_20260325_152826_results.json,2,3,True,22.000095,SUCCESS,0.495,22.000095,SUCCESS,1.977,0.25,classical,1,1
q_20260325_152831_results.json,2,4,True,22.000007,SUCCESS,0.629,22.000007,SUCCESS,2.062,0.305,classical,1,1
q_20260325_152837_results.json,2,5,True,22.0001,SUCCESS,0.841,22.0001,SUCCESS,2.37,0.355,classical,1,1
q_20260325_152847_results.json,2,6,True,22.000607,SUCCESS,1.943,22.000607,SUCCESS,5.036,0.386,classical,2,2
q_20260325_152852_results.json,3,1,True,33.0,SUCCESS,0.218,33.0,SUCCESS,2.235,0.098,classical,1,1
q_20260325_152904_results.json,3,2,True,33.000046,SUCCESS,1.344,33.000046,SUCCESS,7.359,0.183,classical,3,3
q_20260325_152911_results.json,3,3,True,33.000117,SUCCESS,0.776,33.000117,SUCCESS,3.043,0.255,classical,1,1
q_20260325_152919_results.json,3,4,True,33.000079,SUCCESS,1.04,33.000079,SUCCESS,3.163,0.329,classical,1,1
q_20260325_152926_results.json,3,5,True,33.000012,SUCCESS,1.205,33.000012,SUCCESS,3.264,0.369,classical,1,1
q_20260325_152941_results.json,3,6,True,33.000025,SUCCESS,3.807,33.000025,SUCCESS,8.493,0.448,classical,2,2
q_20260325_152949_results.json,4,1,True,43.0,SUCCESS,0.325,43.0,SUCCESS,4.202,0.077,classical,1,1
q_20260325_153002_results.json,4,2,True,43.000004,SUCCESS,1.241,43.000004,SUCCESS,8.896,0.139,classical,2,2
q_20260325_153010_results.json,4,3,True,43.000017,SUCCESS,0.967,43.000017,SUCCESS,3.809,0.254,classical,1,1
q_20260325_153021_results.json,4,4,True,43.000044,SUCCESS,1.522,43.000044,SUCCESS,5.496,0.277,classical,1,1
q_20260325_153055_results.json,4,5,True,43.000072,SUCCESS,8.231,43.000072,SUCCESS,22.839,0.36,classical,4,4
q_20260325_153148_results.json,4,6,True,43.000981,SUCCESS,15.505,43.000981,SUCCESS,34.146,0.454,classical,5,5
q_20260325_153200_results.json,5,1,True,53.0,SUCCESS,0.421,53.0,SUCCESS,6.377,0.066,classical,1,1
q_20260325_153211_results.json,5,2,True,53.0,SUCCESS,0.816,53.0,SUCCESS,7.184,0.114,classical,1,1
q_20260325_153232_results.json,5,3,True,53.000679,SUCCESS,2.234,53.000679,SUCCESS,14.75,0.151,classical,2,2
q_20260325_153246_results.json,5,4,True,53.001269,SUCCESS,2.21,53.001269,SUCCESS,8.279,0.267,classical,1,1
q_20260325_153300_results.json,5,5,True,53.000396,SUCCESS,3.043,53.000396,SUCCESS,8.338,0.365,classical,1,1
q_20260325_153317_results.json,5,6,True,53.00236,SUCCESS,4.1,53.00236,SUCCESS,9.14,0.449,classical,1,1
q_20260325_153346_results.json,6,1,True,63.000032,SUCCESS,0.569,63.000032,SUCCESS,24.495,0.023,classical,1,1
q_20260325_153414_results.json,6,2,True,63.000068,SUCCESS,1.257,63.000068,SUCCESS,24.004,0.052,classical,1,1
q_20260325_153532_results.json,6,3,True,63.000031,SUCCESS,5.409,63.000031,SUCCESS,68.923,0.078,classical,3,3
q_20260325_153629_results.json,6,4,True,63.000365,SUCCESS,6.27,63.000365,SUCCESS,46.796,0.134,classical,2,2
q_20260325_153702_results.json,6,5,True,63.000876,SUCCESS,4.656,63.000876,SUCCESS,24.82,0.188,classical,1,1
q_20260325_153814_results.json,6,6,True,63.000177,SUCCESS,11.418,63.000177,SUCCESS,57.526,0.198,classical,2,2
