source_file,n_servers,n_vms,require_all_on,classic_objective,classic_status,classic_time_s,quantum_objective,quantum_status,quantum_time_s,speedup_x,best_solver,n_classic_residuals,n_quantum_residuals
q_20260325_154556_results.json,1,1,True,11.000022,SUCCESS,0.166,11.000022,SUCCESS,1.459,0.114,classical,1,1
q_20260325_154603_results.json,1,2,True,11.000027,SUCCESS,0.404,11.000027,SUCCESS,1.441,0.28,classical,1,1
q_20260325_154609_results.json,1,3,True,11.0,SUCCESS,0.247,11.0,SUCCESS,1.463,0.169,classical,1,1
q_20260325_154615_results.json,1,4,True,11.000061,SUCCESS,0.409,11.000061,SUCCESS,1.597,0.256,classical,1,1
q_20260325_154621_results.json,1,5,True,11.000017,SUCCESS,0.56,11.000017,SUCCESS,1.855,0.302,classical,1,1
q_20260325_154627_results.json,1,6,True,11.000067,SUCCESS,0.666,11.000067,SUCCESS,1.83,0.364,classical,1,1
q_20260325_154631_results.json,2,1,True,22.00001,SUCCESS,0.158,22.00001,SUCCESS,1.448,0.109,classical,1,1
q_20260325_154636_results.json,2,2,True,22.00004,SUCCESS,0.242,22.00004,SUCCESS,1.601,0.151,classical,1,1
q_20260325_154641_results.json,2,3,True,22.000095,SUCCESS,0.492,22.000095,SUCCESS,2.014,0.244,classical,1,1
q_20260325_154646_results.json,2,4,True,22.000007,SUCCESS,0.589,22.000007,SUCCESS,1.931,0.305,classical,1,1
q_20260325_154651_results.json,2,5,True,22.0001,SUCCESS,0.725,22.0001,SUCCESS,2.158,0.336,classical,1,1
q_20260325_154701_results.json,2,6,True,22.000607,SUCCESS,1.862,22.000607,SUCCESS,4.907,0.379,classical,2,2
q_20260325_154706_results.json,3,1,True,33.0,SUCCESS,0.234,33.0,SUCCESS,2.141,0.109,classical,1,1
q_20260325_154717_results.json,3,2,True,33.000046,SUCCESS,1.266,33.000046,SUCCESS,7.794,0.162,classical,3,3
q_20260325_154724_results.json,3,3,True,33.000117,SUCCESS,0.732,33.000117,SUCCESS,3.194,0.229,classical,1,1
q_20260325_154731_results.json,3,4,True,33.000079,SUCCESS,1.015,33.000079,SUCCESS,3.04,0.334,classical,1,1
q_20260325_154738_results.json,3,5,True,33.000012,SUCCESS,1.168,33.000012,SUCCESS,3.351,0.348,classical,1,1
q_20260325_154752_results.json,3,6,True,33.000025,SUCCESS,3.713,33.000025,SUCCESS,8.42,0.441,classical,2,2
q_20260325_154759_results.json,4,1,True,43.0,SUCCESS,0.297,43.0,SUCCESS,3.73,0.08,classical,1,1
q_20260325_154811_results.json,4,2,True,43.000004,SUCCESS,1.131,43.000004,SUCCESS,8.278,0.137,classical,2,2
q_20260325_154819_results.json,4,3,True,43.000017,SUCCESS,0.91,43.000017,SUCCESS,4.621,0.197,classical,1,1
q_20260325_154828_results.json,4,4,True,43.000044,SUCCESS,1.473,43.000044,SUCCESS,4.736,0.311,classical,1,1
q_20260325_154859_results.json,4,5,True,43.000072,SUCCESS,7.86,43.000072,SUCCESS,20.78,0.378,classical,4,4
q_20260325_154950_results.json,4,6,True,43.000981,SUCCESS,14.724,43.000981,SUCCESS,32.673,0.451,classical,5,5
q_20260325_155000_results.json,5,1,True,53.0,SUCCESS,0.379,53.0,SUCCESS,6.379,0.059,classical,1,1
q_20260325_155011_results.json,5,2,True,53.0,SUCCESS,0.779,53.0,SUCCESS,7.014,0.111,classical,1,1
q_20260325_155029_results.json,5,3,True,53.000679,SUCCESS,2.19,53.000679,SUCCESS,13.211,0.166,classical,2,2
q_20260325_155043_results.json,5,4,True,53.001269,SUCCESS,2.134,53.001269,SUCCESS,8.719,0.245,classical,1,1
q_20260325_155058_results.json,5,5,True,53.000396,SUCCESS,2.947,53.000396,SUCCESS,9.046,0.326,classical,1,1
q_20260325_155114_results.json,5,6,True,53.00236,SUCCESS,4.008,53.00236,SUCCESS,8.834,0.454,classical,1,1
q_20260325_155138_results.json,6,1,True,63.000032,SUCCESS,0.489,63.000032,SUCCESS,21.113,0.023,classical,1,1
q_20260325_155207_results.json,6,2,True,63.000068,SUCCESS,1.29,63.000068,SUCCESS,24.64,0.052,classical,1,1
q_20260325_155323_results.json,6,3,True,63.000031,SUCCESS,5.31,63.000031,SUCCESS,67.454,0.079,classical,3,3
q_20260325_155417_results.json,6,4,True,63.000365,SUCCESS,5.534,63.000365,SUCCESS,44.846,0.123,classical,2,2
q_20260325_155447_results.json,6,5,True,63.000876,SUCCESS,3.901,63.000876,SUCCESS,22.648,0.172,classical,1,1
q_20260325_155552_results.json,6,6,True,63.000177,SUCCESS,11.757,63.000177,SUCCESS,49.846,0.236,classical,2,2
